   0.050 	    0.000
   0.150 	    0.000
   0.250 	    0.000
   0.350 	    0.000
   0.450 	    0.000
   0.550 	    0.000
   0.650 	    0.000
   0.750 	    0.000
   0.850 	    0.000
   0.950 	    0.000
   1.050 	    0.000
   1.150 	    0.000
   1.250 	    0.000
   1.350 	    0.000
   1.450 	    0.000
   1.550 	    0.000
   1.650 	    0.000
   1.750 	    0.000
   1.850 	    0.000
   1.950 	    0.000
   2.050 	    0.000
   2.150 	    0.000
   2.250 	    0.000
   2.350 	    0.000
   2.450 	    0.014
   2.550 	    0.423
   2.650 	    1.902
   2.750 	    2.904
   2.850 	    2.535
   2.950 	    1.765
   3.050 	    1.206
   3.150 	    0.948
   3.250 	    0.839
   3.350 	    0.809
   3.450 	    0.817
   3.550 	    0.827
   3.650 	    0.858
   3.750 	    0.893
   3.850 	    0.922
   3.950 	    0.952
   4.050 	    0.985
   4.150 	    1.009
   4.250 	    1.017
   4.350 	    1.040
   4.450 	    1.033
   4.550 	    1.033
   4.650 	    1.005
   4.750 	    0.988
   4.850 	    0.967
   4.950 	    0.938
   5.050 	    0.917
   5.150 	    0.901
   5.250 	    0.873
   5.350 	    0.858
   5.450 	    0.844
   5.550 	    0.844
   5.650 	    0.831
   5.750 	    0.838
   5.850 	    0.839
   5.950 	    0.857
   6.050 	    0.867
   6.150 	    0.887
   6.250 	    0.898
   6.350 	    0.908
   6.450 	    0.925
   6.550 	    0.925
   6.650 	    0.922
   6.750 	    0.918
   6.850 	    0.917
   6.950 	    0.914
   7.050 	    0.903
   7.150 	    0.890
   7.250 	    0.883
   7.350 	    0.873
   7.450 	    0.865
   7.550 	    0.853
   7.650 	    0.848
   7.750 	    0.839
   7.850 	    0.839
   7.950 	    0.837
