1.000000000000000000e+00 9.999999119200185804e-01 6.823688178841743834e+00 2.181349463226503804e+00 7.473925068756694934e+00 8.449884397291837601e+00
2.000000000000000000e+00 1.999999823840037161e+00 6.719271361943788712e+00 2.179613410930265172e+00 7.394505199913496973e+00 8.325538223711067332e+00
3.000000000000000000e+00 2.999999735760055852e+00 6.615731672605898339e+00 2.175822913134919379e+00 7.242114488446182108e+00 8.209899903866304527e+00
4.000000000000000000e+00 3.999999647680074322e+00 6.529298262422686960e+00 2.133755102349350175e+00 7.190052764949176556e+00 8.123090174859722623e+00
5.000000000000000000e+00 4.999999559600093235e+00 6.438628206252784203e+00 2.092082283001384990e+00 7.110777325810261118e+00 8.042633671548443886e+00
6.000000000000000000e+00 5.999999471520111705e+00 6.357829792424888105e+00 2.100925259445978632e+00 7.093471944277472296e+00 8.029424382425547790e+00
7.000000000000000000e+00 6.999999383440130174e+00 6.281239315194339312e+00 2.117260411442293044e+00 6.936828944904964267e+00 8.019157824382794786e+00
8.000000000000000000e+00 7.999999295360148643e+00 6.206908633441290846e+00 2.115393297296471964e+00 6.978072415603179479e+00 7.988392488002608260e+00
9.000000000000000000e+00 8.999999207280167113e+00 6.128388261321514818e+00 2.055972311610209768e+00 6.915602538820150968e+00 7.950140660989461594e+00
1.000000000000000000e+01 9.999999119200186470e+00 6.029919624945727641e+00 2.036943666638617145e+00 6.876281255018660055e+00 7.846296872405365441e+00
1.100000000000000000e+01 1.099999903112020405e+01 5.939453163669391245e+00 2.010112011964903189e+00 6.779266813297959438e+00 7.701027932517252594e+00
1.200000000000000000e+01 1.199999894304022341e+01 5.858395011281424480e+00 2.040879708792644465e+00 6.660325197668901076e+00 7.668406344240112915e+00
1.300000000000000000e+01 1.299999885496024099e+01 5.775922386571788358e+00 2.005466800941466676e+00 6.624109063046025092e+00 7.620881383101036022e+00
1.400000000000000000e+01 1.399999876688026035e+01 5.694624000935012198e+00 2.045374949883130178e+00 6.464395946945656668e+00 7.502390336978788987e+00
1.500000000000000000e+01 1.499999867880027793e+01 5.611553336000053349e+00 2.017422976846086069e+00 6.448651331983471735e+00 7.499650652405799534e+00
1.600000000000000000e+01 1.599999859072029729e+01 5.528169758771668718e+00 1.991804809727014014e+00 6.314486038838833082e+00 7.451181295198201049e+00
1.700000000000000000e+01 1.699999850264031664e+01 5.446148091633391530e+00 1.987781967612575640e+00 6.238035658725675781e+00 7.394312511521961007e+00
1.800000000000000000e+01 1.799999841456033423e+01 5.369479098852658616e+00 1.907435820799890269e+00 6.201829113835152896e+00 7.397846246801053738e+00
1.900000000000000000e+01 1.899999832648035181e+01 5.277855333372684754e+00 1.921266282633492750e+00 6.036728013817172389e+00 7.301601042283038190e+00
2.000000000000000000e+01 1.999999823840037294e+01 5.193659467602911306e+00 1.949457878945257683e+00 5.903660823908542632e+00 7.247163278021623967e+00
2.100000000000000000e+01 2.099999815032039052e+01 5.116791962396533222e+00 1.971045611888822657e+00 5.740437292253731449e+00 7.187907186169666396e+00
