   0.050 	    0.000
   0.150 	    0.000
   0.250 	    0.000
   0.350 	    0.000
   0.450 	    0.000
   0.550 	    0.000
   0.650 	    0.000
   0.750 	    0.000
   0.850 	    0.000
   0.950 	    0.000
   1.050 	    0.000
   1.150 	    0.000
   1.250 	    0.000
   1.350 	    0.000
   1.450 	    0.000
   1.550 	    0.000
   1.650 	    0.000
   1.750 	    0.000
   1.850 	    0.000
   1.950 	    0.000
   2.050 	    0.000
   2.150 	    0.000
   2.250 	    0.000
   2.350 	    0.000
   2.450 	 23710274.783
   2.550 	 707771351.658
   2.650 	 3184131296.802
   2.750 	 4860196311.228
   2.850 	 4242852554.931
   2.950 	 2954152504.927
   3.050 	 2019257380.676
   3.150 	 1586165446.582
   3.250 	 1405120068.495
   3.350 	 1354582295.836
   3.450 	 1367776560.568
   3.550 	 1384094518.423
   3.650 	 1436083478.094
   3.750 	 1494892276.516
   3.850 	 1543929381.301
   3.950 	 1594312551.946
   4.050 	 1648781721.524
   4.150 	 1689409716.233
   4.250 	 1702317009.360
   4.350 	 1741148277.870
   4.450 	 1729578266.852
   4.550 	 1729107481.286
   4.650 	 1681616142.950
   4.750 	 1654289625.995
   4.850 	 1618837662.903
   4.950 	 1569754889.626
   5.050 	 1535524332.266
   5.150 	 1508228105.908
   5.250 	 1461221017.259
   5.350 	 1436395871.123
   5.450 	 1412550964.164
   5.550 	 1412300378.832
   5.650 	 1391425611.906
   5.750 	 1402318222.638
   5.850 	 1403892429.776
   5.950 	 1433912816.230
   6.050 	 1451722983.077
   6.150 	 1484051460.511
   6.250 	 1502491659.933
   6.350 	 1520642585.217
   6.450 	 1548012367.402
   6.550 	 1547719411.077
   6.650 	 1543631873.085
   6.750 	 1537431192.729
   6.850 	 1535524117.597
   6.950 	 1530386839.091
   7.050 	 1512279207.552
   7.150 	 1489348683.304
   7.250 	 1477721614.205
   7.350 	 1461411515.743
   7.450 	 1447748262.187
   7.550 	 1426965713.259
   7.650 	 1420232422.548
   7.750 	 1404610001.193
   7.850 	 1404376299.307
   7.950 	 1401669225.174
