  0.50 0.000e+00
  1.50 0.000e+00
  2.50 0.000e+00
  3.50 0.000e+00
  4.50 0.000e+00
  5.50 0.000e+00
  6.50 0.000e+00
  7.50 0.000e+00
  8.50 0.000e+00
  9.50 0.000e+00
 10.50 0.000e+00
 11.50 0.000e+00
 12.50 0.000e+00
 13.50 1.035e-04
 14.50 1.994e-04
 15.50 6.309e-05
 16.50 1.050e-03
 17.50 1.740e-03
 18.50 6.182e-03
 19.50 6.770e-03
 20.50 7.714e-03
 21.50 7.668e-03
 22.50 1.887e-02
 23.50 2.775e-02
 24.50 4.865e-02
 25.50 6.154e-02
 26.50 4.318e-02
 27.50 6.543e-02
 28.50 9.281e-02
 29.50 8.986e-02
 30.50 1.188e-01
 31.50 8.475e-02
 32.50 8.552e-02
 33.50 7.689e-02
 34.50 6.426e-02
 35.50 6.220e-02
 36.50 1.670e-02
 37.50 1.127e-02
 38.50 0.000e+00
 39.50 0.000e+00
 40.50 0.000e+00
 41.50 0.000e+00
 42.50 0.000e+00
 43.50 0.000e+00
 44.50 0.000e+00
 45.50 0.000e+00
 46.50 0.000e+00
 47.50 0.000e+00
 48.50 0.000e+00
 49.50 0.000e+00
 50.50 0.000e+00
 51.50 0.000e+00
 52.50 0.000e+00
 53.50 0.000e+00
 54.50 0.000e+00
 55.50 0.000e+00
 56.50 0.000e+00
 57.50 0.000e+00
 58.50 0.000e+00
 59.50 0.000e+00
 60.50 0.000e+00
 61.50 0.000e+00
 62.50 0.000e+00
 63.50 0.000e+00
 64.50 0.000e+00
 65.50 0.000e+00
 66.50 0.000e+00
 67.50 0.000e+00
 68.50 0.000e+00
 69.50 0.000e+00
 70.50 0.000e+00
 71.50 0.000e+00
 72.50 0.000e+00
 73.50 0.000e+00
 74.50 0.000e+00
 75.50 0.000e+00
 76.50 0.000e+00
 77.50 0.000e+00
 78.50 0.000e+00
 79.50 0.000e+00
